软件的定义	1-4
基于构件组装	1-5
磨损	1-5
软件的特征	1-5
定制软件	1-5
故障曲线	1-7
硬件故障曲线	1-7
浴缸曲线	1-7
软件故障曲线	1-8
软件的分类	1-10
软件面临的新挑战	1-11
项目规模	1-12
软件复杂性	1-13
软件危机的表现	1-15
成功率	1-16
项目成功率	1-16
软件实践的问题	1-17
实践的问题	1-17
软件事故	1-18
事故	1-18
产业现状	1-19
软件产业现状	1-19
中国的软件产业现状	1-19
软件危机的原因	1-20
管理人员的误区	1-22
软件误区	1-22
误区	1-22
客户的误区	1-23
开发人员的误区	1-24
工程定义	1-27
良好的工程	1-28
定义	1-30
软件工程定义	1-30
软件工程战略性学科	1-33
战略性学科	1-33
核心准则	1-34
软件工程核心准则	1-34
复杂性	1-35
控制复杂性	1-35
SWEBOK	1-37
软件过程知识体系	1-37
知识体系	1-37
金三角	1-38
管理活动	1-39
活动	1-39
技术活动	1-39
系统工程	1-40
需求	1-41
需求	1-42
设计	1-42
设计	1-43
编程	1-44
编程的误区	1-45
误区（编程）	1-45
测试	1-46
部署	1-47
分配比例	1-48
工作量分配比例	1-48
维护	1-49
运行	1-49
费用分配比例	1-50
分配比例	1-50
纠错性维护	1-51
适应性维护	1-51
完善性维护	1-51
维护类型	1-51
预防性维护	1-51
发展	1-52
波音747	1-56
模型	1-59
模型的定义	1-59
模型的功能	1-61
建模	1-62
建模的重要性	1-62
模型的特征	1-63
有用模型的特征	1-63
模型的多个视图	1-64
视图	1-64
UML软件模型视图	1-65
CIM	1-66
PIM	1-66
PSM	1-66
计算无关模型	1-66
平台无关模型	1-66
特定平台模型	1-66
模型的转换	1-67
建模的方法	1-68
形式化方法	1-69
结构化方法	1-72
面向对象方法	1-73
UML模型	1-74
UML建模工具	1-75
杠杆作用点	2-4
软件过程的杠杆作用点	2-4
作用点	2-4
软件过程	2-5
软件过程组成	2-6
软件开发模型	2-8
软件生存周期模型	2-8
生存周期模型	2-8
瀑布型	2-10
线性顺序模型	2-10
增量型	2-14
演化型	2-17
演化型类型	2-17
最广泛的模型	2-19
快速原型模型	2-21
螺旋模型	2-24
喷泉模型	2-25
专用过程模型	2-27
模型驱动开发	2-27
构件	2-28
基于构件的开发	2-29
净室软件工程	2-30
形式化方法模型	2-30
面向方面软件开发	2-33
CIM	2-35
PIM	2-35
PSM	2-35
计算无关模型	2-35
平台无关模型	2-35
特定平台模型	2-35
RUP	2-37
风险驱动	2-37
统一软件过程	2-37
阶段	2-38
迭代	2-39
需求工程	3-4
需求定义	3-6
功能需求	3-7
Functionality	3-7
FURPS	3-8
